x            y_obs        weight       y_calc       y_bkg        
20.69        1.0          1.0          2.55         1.0          
20.7         3.0          0.33333      2.553        1.0          
20.71        1.0          1.0          2.557        1.0          
20.72        3.0          0.33333      2.56         1.0          
20.73        0.128        7.81811      2.564        1.0          
20.74        4.0          0.25         2.567        1.0          
20.75        0.142        7.03804      2.571        1.0          
20.76        3.149        0.31754      2.575        1.0          
20.77        1.0          1.0          2.578        1.0          
20.78        4.164        0.24018      2.582        1.0          
20.79        2.171        0.46067      2.585        1.0          
20.8         5.0          0.2          2.589        1.0          
20.81        2.185        0.45762      2.593        1.0          
20.82        4.0          0.25         2.596        1.0          
20.83        1.2          0.83346      2.6          1.0          
20.84        3.0          0.33333      2.604        1.0          
20.85        1.0          1.0          2.607        1.0          
20.86        4.222        0.23686      2.611        1.0          
20.87        0.0          1.0          2.615        1.0          
20.88        3.237        0.30895      2.618        1.0          
20.89        2.244        0.44559      2.622        1.0          
20.9         3.0          0.33333      2.626        1.0          
20.91        1.259        0.79413      2.63         1.0          
20.92        4.267        0.23437      2.633        1.0          
20.93        1.274        0.78471      2.637        1.0          
20.94        8.0          0.125        2.641        1.0          
20.95        1.0          1.0          2.645        1.0          
20.96        4.0          0.25         2.649        1.0          
20.97        1.305        0.76631      2.652        1.0          
20.98        5.0          0.2          2.656        1.0          
20.99        -0.68        1.0          2.66         1.0          
21.0         3.0          0.33333      2.664        1.0          
21.01        0.0          1.0          2.668        1.0          
21.02        5.0          0.2          2.672        1.0          
21.03        1.0          1.0          2.676        1.0          
21.04        5.36         0.18658      2.68         1.0          
21.05        2.367        0.42239      2.684        1.0          
21.06        4.375        0.22855      2.688        1.0          
21.07        2.0          0.5          2.692        1.0          
21.08        4.0          0.25         2.696        1.0          
21.09        1.0          1.0          2.7          1.0          
21.1         3.0          0.33333      2.704        1.0          
21.11        1.416        0.7064       2.708        1.0          
21.12        5.0          0.2          2.712        1.0          
21.13        1.0          1.0          2.716        1.0          
21.14        5.0          0.2          2.72         1.0          
21.15        2.448        0.40844      2.724        1.0          
21.16        3.457        0.2893       2.728        1.0          
21.17        2.0          0.5          2.732        1.0          
21.18        4.473        0.22356      2.737        1.0          
21.19        1.482        0.67499      2.741        1.0          
21.2         3.0          0.33333      2.745        1.0          
21.21        2.0          0.5          2.749        1.0          
21.22        3.0          0.33333      2.753        1.0          
21.23        0.0          1.0          2.758        1.0          
21.24        3.524        0.28379      2.762        1.0          
21.25        2.0          0.5          2.766        1.0          
21.26        4.0          0.25         2.77         1.0          
21.27        2.549        0.39225      2.775        1.0          
21.28        3.558        0.28105      2.779        1.0          
21.29        1.567        0.63828      2.783        1.0          
21.3         3.575        0.27969      2.788        1.0          
21.31        1.0          1.0          2.792        1.0          
21.32        3.0          0.33333      2.796        1.0          
21.33        2.0          0.5          2.801        1.0          
21.34        4.0          0.25         2.805        1.0          
21.35        0.619        1.61445      2.81         1.0          
21.36        4.628        0.21606      2.814        1.0          
21.37        1.0          1.0          2.819        1.0          
21.38        4.0          0.25         2.823        1.0          
21.39        0.0          1.0          2.828        1.0          
21.4         3.0          0.33333      2.832        1.0          
21.41        0.0          1.0          2.837        1.0          
21.42        3.0          0.33333      2.841        1.0          
21.43        -2.308       1.0          2.846        1.0          
